k,status,rss,rmse,mae,r2,trace_hat,aicc_fixed_partition,min_positive_same_regime,median_positive_same_regime,max_positive_same_regime
114,fit,45.73964075124433,0.5363494164709295,0.3594344689431128,0.7123293034512935,33.91299278330523,343.3172283454651,14.0,25.0,53.0
115,fit,45.765439487434705,0.536500654940105,0.35955075885775495,0.7121670472488384,33.775975846428466,342.95299429344334,14.0,25.0,53.0
116,fit,45.80474719831149,0.5367310043760867,0.3598088826388376,0.7119198289414372,33.61860928654909,342.5694422039786,14.0,25.0,53.0
117,fit,45.836438212759816,0.5369166468036184,0.3599079092856751,0.7117205143851584,33.488824481381045,342.2515020788576,14.0,26.0,53.0
118,fit,45.91672359215189,0.5373866625697679,0.36026896709605005,0.7112155748921265,33.324181251004575,341.9882087734299,14.0,26.0,53.0
119,fit,45.936995346743565,0.537505274783207,0.360367642616779,0.7110880795802291,33.139648371733,341.453131672787,14.0,26.0,53.0
120,fit,46.0206703018761,0.5379945891913976,0.3606340764207097,0.7105618220007792,32.9931570567056,341.263287752109,14.0,26.0,53.0
121,fit,46.06120266854127,0.5382314544359932,0.360746744130716,0.7103069014557153,32.85964378762857,340.96750155428754,14.0,26.0,53.0
122,fit,46.13164325426413,0.538642851150928,0.3609759006820663,0.7098638789039993,32.73838383175682,340.81551306714755,14.0,26.0,53.0
123,fit,46.18568588595338,0.5389582654170377,0.36123012438044705,0.7095239881386579,32.57085085200002,340.4572614015211,14.0,26.0,53.0
124,fit,46.222074347963336,0.53917053898834,0.36135068090393047,0.709295129887023,32.4523299227704,340.19822715044904,15.0,26.0,53.0
125,fit,46.24382806415335,0.5392974002700841,0.36145840676557367,0.7091583140619286,32.29706144597193,339.77074970059834,15.0,26.0,53.0
126,fit,46.2682004613086,0.539439497492324,0.3615897320218158,0.709005028545229,32.157933589654014,339.4055123487432,15.0,26.0,53.0
