AreaKey,regime,regime_local_k,unified_fitted_z,reference_independent_fitted_z,delta_fitted,unified_Intercept,reference_independent_Intercept,delta_Intercept,unified_PctFB,reference_independent_PctFB,delta_PctFB,unified_PctBlack,reference_independent_PctBlack,delta_PctBlack,unified_PctRural,reference_independent_PctRural,delta_PctRural
13151,1,53,0.17029418574140628,0.1702941857414064,-1.1102230246251565e-16,0.23417035315383394,0.2341703531538341,-1.6653345369377348e-16,0.8332501088396159,0.833250108839616,-1.1102230246251565e-16,-0.07291730469872676,-0.0729173046987267,-5.551115123125783e-17,-0.1572347662313103,-0.1572347662313104,1.1102230246251565e-16
13153,3,17,0.7524747889042236,0.7524747889042234,2.220446049250313e-16,-0.09611506909974513,-0.0961150690997451,-2.7755575615628914e-17,0.3119344620198159,0.3119344620198159,0.0,-0.015784132596589312,-0.0157841325965892,-1.1102230246251565e-16,-0.307141052632241,-0.3071410526322409,-1.1102230246251565e-16
13155,2,19,-0.5737430408135241,-0.5737430408135241,0.0,-0.463382555636676,-0.4633825556366761,5.551115123125783e-17,0.27637848621461414,0.2763784862146141,5.551115123125783e-17,0.30160911162142423,0.3016091116214243,-5.551115123125783e-17,-0.22148868439991387,-0.2214886843999138,-8.326672684688674e-17
13157,1,53,-0.015910736701196027,-0.0159107367011958,-2.255140518769849e-16,0.3360357583814284,0.3360357583814284,0.0,0.6807722716623499,0.6807722716623499,0.0,-0.02775339353703088,-0.027753393537031,1.214306433183765e-16,-0.33898470443460404,-0.338984704434604,-5.551115123125783e-17
13159,5,27,-0.47831118565270514,-0.478311185652705,-1.6653345369377348e-16,0.10131088877963401,0.101310888779634,1.3877787807814457e-17,0.36473220634441184,0.3647322063444119,-5.551115123125783e-17,-0.12111311415529011,-0.1211131141552901,-1.3877787807814457e-17,-0.44034121961332473,-0.4403412196133247,-5.551115123125783e-17
13161,6,21,-0.4547046545784659,-0.454704654578466,5.551115123125783e-17,-0.3118435560981377,-0.3118435560981376,-1.1102230246251565e-16,0.11244576694766076,0.1124457669476607,5.551115123125783e-17,0.25846063805014635,0.2584606380501464,-5.551115123125783e-17,-0.43307499355547396,-0.4330749935554739,-5.551115123125783e-17
13163,5,27,-0.8351930302142718,-0.8351930302142717,-1.1102230246251565e-16,0.1334345672205409,0.1334345672205409,0.0,0.3957532736055079,0.3957532736055079,0.0,-0.14684502046615155,-0.1468450204661515,-5.551115123125783e-17,-0.44578173986303743,-0.4457817398630374,-5.551115123125783e-17
13165,3,17,-0.4551779257919736,-0.4551779257919736,0.0,-0.027625249992043466,-0.0276252499920434,-6.591949208711867e-17,0.854954395479098,0.8549543954790981,-1.1102230246251565e-16,0.062387659871350976,0.0623876598713509,7.632783294297951e-17,-0.2649262480977491,-0.2649262480977492,5.551115123125783e-17
13167,3,17,-0.8674791673567063,-0.8674791673567062,-1.1102230246251565e-16,-0.04212952499508971,-0.0421295249950896,-1.0408340855860843e-16,0.8133599766939199,0.81335997669392,-1.1102230246251565e-16,0.07202628262384203,0.072026282623842,2.7755575615628914e-17,-0.26925602118352754,-0.2692560211835275,-5.551115123125783e-17
13169,5,27,-0.2583809790313989,-0.2583809790313988,-1.1102230246251565e-16,0.07977308462567159,0.0797730846256716,-1.3877787807814457e-17,0.29757816786660163,0.2975781678666016,5.551115123125783e-17,-0.11093830204030566,-0.1109383020403056,-6.938893903907228e-17,-0.4657536952426824,-0.4657536952426823,-1.1102230246251565e-16
13171,5,27,-0.0819180859286262,-0.0819180859286261,-1.1102230246251565e-16,0.08108874895757266,0.0810887489575726,5.551115123125783e-17,0.3571167169872823,0.3571167169872822,1.1102230246251565e-16,-0.11054090847517198,-0.1105409084751719,-8.326672684688674e-17,-0.4457900831298132,-0.4457900831298133,5.551115123125783e-17
13173,6,21,-0.9220051173808252,-0.9220051173808252,0.0,-0.20804572667598414,-0.2080457266759841,-5.551115123125783e-17,0.31345192248880593,0.3134519224888059,5.551115123125783e-17,0.2884629718191213,0.2884629718191212,1.1102230246251565e-16,-0.5697376441507502,-0.5697376441507501,-1.1102230246251565e-16
13175,3,17,-0.24390863660836715,-0.2439086366083671,-5.551115123125783e-17,-0.07197900738992108,-0.071979007389921,-8.326672684688674e-17,0.7257593465067363,0.7257593465067363,0.0,0.07593001421569678,0.0759300142156967,8.326672684688674e-17,-0.28086708330762655,-0.2808670833076265,-5.551115123125783e-17
13177,4,22,0.012166261546794777,0.0121662615467947,7.806255641895632e-17,-0.051099925327636526,-0.0510999253276365,-2.7755575615628914e-17,-0.07340065898126574,-0.0734006589812657,-4.163336342344337e-17,-0.1809993988292371,-0.180999398829237,-1.1102230246251565e-16,-0.1609556463537739,-0.1609556463537739,0.0
